PRESSURES (KGF/CM²);BO (M³/M³);VISCOSITY (Cp);BUBBLE POINT (KGF/CM²)
34,8038;1,198;2,05;190
41,01141;1,2;1,99;190
48,24872;1,21;1,91;190
58,59473;1,23;1,81;190
67,21478;1,24;1,73;190
79,28677;1,25;1,62;190
92,04522;1,27;1,52;190
103,76416;1,28;1,43;190
119,62152;1,3;1,32;190
131,35027;1,32;1,25;190
145,13842;1,33;1,17;190
163,07478;1,35;1,09;190
189,62138;1,39;1;190
209,13662;1,41;0,96;190
215,13829;1,42;0,94;190
225,06262;1,43;0,91;190
243,20492;1,45;0,85;190
277,54781;1,5;0,75;190
310,78255;1,54;0,65;190
345,8119;1,58;0,54;190
353,0394;1,59;0,52;190
